beta_0,beta_1,sigma,log_lik
-1.2327054,1.3775057,0.59955549,-4.2702802
-2.6991785,1.5079373,1.0783506,-5.3829239
-3.2048804,1.7840604,0.95168139,-4.8768638
-1.4089474,1.4053019,1.0987021,-4.7698268
2.9558219,0.12641006,0.93105855,-5.4213858
2.6075733,0.22419758,0.99733045,-5.209959
0.71488586,0.75555679,0.97165667,-4.3407459
-1.1735804,1.3042442,0.68266707,-3.6282647
-0.75733407,1.0566643,0.72704495,-3.7322208
-0.97425016,1.3153832,0.62390302,-4.2927909
-1.0685324,1.2813462,0.63289423,-3.5840209
-1.360849,1.3368696,0.70665865,-3.62661
-1.1921968,1.1671173,0.57941412,-3.8069833
0.33096979,0.72262988,0.69757776,-4.153954
0.18136745,0.95186053,0.73315257,-3.8661977
-0.80026716,1.1801883,0.40528178,-3.7409586
-0.80026716,1.1801883,0.40528178,-3.7409586
-0.80026716,1.1801883,0.40528178,-3.7409586
-1.030413,1.0777467,0.65796525,-4.3050165
3.6284139,0.16655407,1.3248586,-6.9220412
-1.1712159,1.2371918,0.6795899,-3.4343013
-0.13348276,0.99537797,0.70117307,-3.4969313
-0.75210701,1.0736706,0.89745354,-4.0419166
0.72260221,0.66986091,0.83117773,-4.0795897
-0.080250033,1.0111994,0.85666072,-4.0020068
2.2928332,0.12351436,1.5906504,-6.3476775
3.3698265,-0.029432924,0.86940751,-5.8556995
4.0351374,-0.088825911,1.6927585,-6.7742024
4.476875,-0.4893209,1.7511363,-7.17244
3.3191576,0.11013892,1.5392245,-6.3573682
2.9666404,-0.02993304,1.3658452,-6.1213462
1.6120652,-0.12413327,1.372344,-10.353003
1.5726283,-0.13680455,1.3815583,-10.681063
-6.8995276,2.2696617,2.1310271,-9.368781
-0.55403543,1.8555287,3.0666899,-9.8506621
-3.6983883,1.8709734,2.1324695,-7.0689223
-3.5087389,1.9670993,1.1018556,-5.3721847
-2.3233022,1.4521525,0.6900224,-4.652823
-2.401986,1.6144667,0.64111937,-4.1541442
0.44341189,0.83884772,0.51321216,-3.6347671
-0.51632269,1.0895517,0.36751576,-3.9461841
-0.56835952,1.0698621,0.35239271,-4.0405769
-0.56835952,1.0698621,0.35239271,-4.0405769
-0.56835952,1.0698621,0.35239271,-4.0405769
-0.56835952,1.0698621,0.35239271,-4.0405769
-0.56835952,1.0698621,0.35239271,-4.0405769
-0.16152227,0.98167325,0.47470807,-3.2719156
0.38992727,0.81801434,0.42026589,-3.8625649
0.037697486,0.805093,0.39231703,-5.6646344
-2.7966879,1.657332,1.2393903,-5.2436939
-3.09617,1.8491767,0.90874313,-4.9245454
-0.3017642,0.92851413,0.74504439,-3.7878175
-0.33151536,0.95758206,0.76156786,-3.6974119
0.16489106,0.88938879,0.45844444,-3.4736116
-2.4307125,1.6388085,0.68349133,-4.2328281
-2.6347055,1.7466569,1.215973,-5.2997836
0.12249533,0.83345539,0.43497644,-3.9453236
-0.62078899,0.96962254,1.0217936,-4.6680639
-1.2966272,1.248002,0.6626797,-3.49137
-1.0122025,1.1375152,0.79227829,-3.8338864
-0.2572873,0.98655092,0.63909118,-3.2806231
